"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Apr 18 02:49:51 GMT 2023","Tue Apr 18 02:49:52 GMT 2023","937","webkit","example2.spec.js","","","","has title 02",""
"failed","Tue Apr 18 02:49:43 GMT 2023","Tue Apr 18 02:49:44 GMT 2023","914","webkit","example.spec.js","","","","has title",""
"passed","Tue Apr 18 02:49:32 GMT 2023","Tue Apr 18 02:49:37 GMT 2023","4123","firefox","example.spec.js","","","","has title",""
"failed","Tue Apr 18 02:49:55 GMT 2023","Tue Apr 18 02:49:56 GMT 2023","913","webkit","example2.spec.js","","","","get started link 02",""
"passed","Tue Apr 18 02:49:38 GMT 2023","Tue Apr 18 02:49:39 GMT 2023","883","firefox","example2.spec.js","","","","has title 02",""
"failed","Tue Apr 18 02:49:47 GMT 2023","Tue Apr 18 02:49:48 GMT 2023","941","webkit","example.spec.js","","","","get started link",""
"passed","Tue Apr 18 02:49:30 GMT 2023","Tue Apr 18 02:49:31 GMT 2023","574","chromium","example.spec.js","","","","get started link",""
"passed","Tue Apr 18 02:49:29 GMT 2023","Tue Apr 18 02:49:30 GMT 2023","917","chromium","example.spec.js","","","","has title",""
"passed","Tue Apr 18 02:49:39 GMT 2023","Tue Apr 18 02:49:40 GMT 2023","1131","firefox","example2.spec.js","","","","get started link 02",""
"passed","Tue Apr 18 02:49:31 GMT 2023","Tue Apr 18 02:49:32 GMT 2023","601","chromium","example2.spec.js","","","","get started link 02",""
"passed","Tue Apr 18 02:49:37 GMT 2023","Tue Apr 18 02:49:38 GMT 2023","1143","firefox","example.spec.js","","","","get started link",""
"passed","Tue Apr 18 02:49:31 GMT 2023","Tue Apr 18 02:49:31 GMT 2023","392","chromium","example2.spec.js","","","","has title 02",""
