"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Apr 18 02:09:57 GMT 2023","Tue Apr 18 02:09:58 GMT 2023","1196","webkit","example.spec.js","","","","get started link",""
"passed","Tue Apr 18 02:09:41 GMT 2023","Tue Apr 18 02:09:42 GMT 2023","979","chromium","example.spec.js","","","","has title",""
"passed","Tue Apr 18 02:09:44 GMT 2023","Tue Apr 18 02:09:46 GMT 2023","2552","firefox","example.spec.js","","","","has title",""
"passed","Tue Apr 18 02:09:42 GMT 2023","Tue Apr 18 02:09:43 GMT 2023","668","chromium","example.spec.js","","","","get started link",""
"failed","Tue Apr 18 02:09:52 GMT 2023","Tue Apr 18 02:09:53 GMT 2023","1176","webkit","example.spec.js","","","","has title",""
"passed","Tue Apr 18 02:09:46 GMT 2023","Tue Apr 18 02:09:48 GMT 2023","1378","firefox","example.spec.js","","","","get started link",""
