"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 18 03:12:13 GMT 2023","Tue Apr 18 03:12:13 GMT 2023","450","chromium","example2.spec.js","","","","get started link 02",""
"passed","Tue Apr 18 03:12:17 GMT 2023","Tue Apr 18 03:12:18 GMT 2023","830","firefox","example2.spec.js","","","","has title 02",""
"failed","Tue Apr 18 03:12:23 GMT 2023","Tue Apr 18 03:12:24 GMT 2023","957","webkit","example.spec.js","","","","has title",""
"failed","Tue Apr 18 03:12:31 GMT 2023","Tue Apr 18 03:12:32 GMT 2023","952","webkit","example2.spec.js","","","","has title 02",""
"passed","Tue Apr 18 03:12:18 GMT 2023","Tue Apr 18 03:12:19 GMT 2023","1191","firefox","example2.spec.js","","","","get started link 02",""
"failed","Tue Apr 18 03:12:27 GMT 2023","Tue Apr 18 03:12:28 GMT 2023","979","webkit","example.spec.js","","","","get started link",""
"passed","Tue Apr 18 03:12:16 GMT 2023","Tue Apr 18 03:12:17 GMT 2023","1136","firefox","example.spec.js","","","","get started link",""
"passed","Tue Apr 18 03:12:14 GMT 2023","Tue Apr 18 03:12:16 GMT 2023","2302","firefox","example.spec.js","","","","has title",""
"passed","Tue Apr 18 03:12:12 GMT 2023","Tue Apr 18 03:12:12 GMT 2023","550","chromium","example.spec.js","","","","get started link",""
"failed","Tue Apr 18 03:12:35 GMT 2023","Tue Apr 18 03:12:36 GMT 2023","935","webkit","example2.spec.js","","","","get started link 02",""
"passed","Tue Apr 18 03:12:11 GMT 2023","Tue Apr 18 03:12:12 GMT 2023","766","chromium","example.spec.js","","","","has title",""
"passed","Tue Apr 18 03:12:12 GMT 2023","Tue Apr 18 03:12:13 GMT 2023","380","chromium","example2.spec.js","","","","has title 02",""
