"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Apr 18 03:16:41 GMT 2023","Tue Apr 18 03:16:42 GMT 2023","860","webkit","example.spec.js","","","","get started link",""
"passed","Tue Apr 18 03:16:27 GMT 2023","Tue Apr 18 03:16:31 GMT 2023","3793","firefox","example.spec.js","","","","has title",""
"passed","Tue Apr 18 03:16:26 GMT 2023","Tue Apr 18 03:16:26 GMT 2023","378","chromium","example2.spec.js","","","","has title 02",""
"passed","Tue Apr 18 03:16:33 GMT 2023","Tue Apr 18 03:16:34 GMT 2023","982","firefox","example2.spec.js","","","","get started link 02",""
"passed","Tue Apr 18 03:16:25 GMT 2023","Tue Apr 18 03:16:25 GMT 2023","626","chromium","example.spec.js","","","","has title",""
"passed","Tue Apr 18 03:16:25 GMT 2023","Tue Apr 18 03:16:26 GMT 2023","544","chromium","example.spec.js","","","","get started link",""
"passed","Tue Apr 18 03:16:31 GMT 2023","Tue Apr 18 03:16:32 GMT 2023","1100","firefox","example.spec.js","","","","get started link",""
"failed","Tue Apr 18 03:16:37 GMT 2023","Tue Apr 18 03:16:38 GMT 2023","864","webkit","example.spec.js","","","","has title",""
"failed","Tue Apr 18 03:16:45 GMT 2023","Tue Apr 18 03:16:45 GMT 2023","857","webkit","example2.spec.js","","","","has title 02",""
"failed","Tue Apr 18 03:16:48 GMT 2023","Tue Apr 18 03:16:49 GMT 2023","866","webkit","example2.spec.js","","","","get started link 02",""
"passed","Tue Apr 18 03:16:32 GMT 2023","Tue Apr 18 03:16:33 GMT 2023","709","firefox","example2.spec.js","","","","has title 02",""
"passed","Tue Apr 18 03:16:26 GMT 2023","Tue Apr 18 03:16:27 GMT 2023","397","chromium","example2.spec.js","","","","get started link 02",""
