"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Apr 18 02:54:52 GMT 2023","Tue Apr 18 02:54:53 GMT 2023","872","webkit","example2.spec.js","","","","get started link 02",""
"passed","Tue Apr 18 02:54:31 GMT 2023","Tue Apr 18 02:54:34 GMT 2023","3712","firefox","example.spec.js","","","","has title",""
"passed","Tue Apr 18 02:54:28 GMT 2023","Tue Apr 18 02:54:29 GMT 2023","760","chromium","example.spec.js","","","","has title",""
"passed","Tue Apr 18 02:54:30 GMT 2023","Tue Apr 18 02:54:30 GMT 2023","520","chromium","example2.spec.js","","","","get started link 02",""
"passed","Tue Apr 18 02:54:29 GMT 2023","Tue Apr 18 02:54:29 GMT 2023","418","chromium","example.spec.js","","","","get started link",""
"failed","Tue Apr 18 02:54:48 GMT 2023","Tue Apr 18 02:54:49 GMT 2023","890","webkit","example2.spec.js","","","","has title 02",""
"failed","Tue Apr 18 02:54:44 GMT 2023","Tue Apr 18 02:54:45 GMT 2023","865","webkit","example.spec.js","","","","get started link",""
"passed","Tue Apr 18 02:54:36 GMT 2023","Tue Apr 18 02:54:37 GMT 2023","1039","firefox","example2.spec.js","","","","get started link 02",""
"passed","Tue Apr 18 02:54:34 GMT 2023","Tue Apr 18 02:54:35 GMT 2023","1127","firefox","example.spec.js","","","","get started link",""
"passed","Tue Apr 18 02:54:29 GMT 2023","Tue Apr 18 02:54:30 GMT 2023","364","chromium","example2.spec.js","","","","has title 02",""
"passed","Tue Apr 18 02:54:35 GMT 2023","Tue Apr 18 02:54:36 GMT 2023","766","firefox","example2.spec.js","","","","has title 02",""
"failed","Tue Apr 18 02:54:41 GMT 2023","Tue Apr 18 02:54:41 GMT 2023","875","webkit","example.spec.js","","","","has title",""
