"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 18 03:27:25 GMT 2023","Tue Apr 18 03:27:26 GMT 2023","758","chromium","example.spec.js","","","","has title",""
"passed","Tue Apr 18 03:27:28 GMT 2023","Tue Apr 18 03:27:30 GMT 2023","2466","firefox","example.spec.js","","","","has title",""
"failed","Tue Apr 18 03:27:37 GMT 2023","Tue Apr 18 03:27:37 GMT 2023","867","webkit","example.spec.js","","","","has title",""
"passed","Tue Apr 18 03:27:32 GMT 2023","Tue Apr 18 03:27:33 GMT 2023","1106","firefox","example2.spec.js","","","","get started link 02",""
"failed","Tue Apr 18 03:27:44 GMT 2023","Tue Apr 18 03:27:45 GMT 2023","871","webkit","example2.spec.js","","","","has title 02",""
"passed","Tue Apr 18 03:27:26 GMT 2023","Tue Apr 18 03:27:27 GMT 2023","456","chromium","example.spec.js","","","","get started link",""
"failed","Tue Apr 18 03:27:48 GMT 2023","Tue Apr 18 03:27:49 GMT 2023","889","webkit","example2.spec.js","","","","get started link 02",""
"passed","Tue Apr 18 03:27:27 GMT 2023","Tue Apr 18 03:27:27 GMT 2023","376","chromium","example2.spec.js","","","","has title 02",""
"passed","Tue Apr 18 03:27:30 GMT 2023","Tue Apr 18 03:27:31 GMT 2023","930","firefox","example.spec.js","","","","get started link",""
"failed","Tue Apr 18 03:27:40 GMT 2023","Tue Apr 18 03:27:41 GMT 2023","870","webkit","example.spec.js","","","","get started link",""
"passed","Tue Apr 18 03:27:31 GMT 2023","Tue Apr 18 03:27:32 GMT 2023","715","firefox","example2.spec.js","","","","has title 02",""
"passed","Tue Apr 18 03:27:27 GMT 2023","Tue Apr 18 03:27:27 GMT 2023","539","chromium","example2.spec.js","","","","get started link 02",""
